Symbol,Price,Dollar Change,Percentage Change,Market Cap,Volume
BTC-USD,"95,202.33","+1,419.94",(+1.51%),1.884T,71.294B
ETH-USD,"3,611.07",+114.79,(+3.28%),434.904B,42.483B
USDT-USD,1.0006,+0.0005,(+0.05%),133.282B,160.287B
SOL-USD,235.46,+0.23,(+0.10%),111.821B,5.083B
BNB-USD,656.72,+32.31,(+5.17%),94.574B,2.777B
XRP-USD,1.4592,+0.0283,(+1.98%),83.172B,6.586B
DOGE-USD,0.399586,+0.007822,(+2.00%),58.731B,7.04B
USDC-USD,1.0002,+0.0002,(+0.02%),39.46B,11.919B
STETH-USD,"3,624.05",+146.87,(+4.22%),35.523B,140.652M
ADA-USD,0.996206,+0.005748,(+0.58%),34.941B,2.029B
WTRX-USD,0.200508,+0.000835,(+0.42%),17.529B,3.201M
TRX-USD,0.200570,+0.000373,(+0.19%),17.314B,765.911M
AVAX-USD,42.06,-0.75,(-1.76%),17.213B,1.039B
TON11419-USD,6.3868,+0.1666,(+2.68%),16.268B,494.7M
WSTETH-USD,"4,291.66",+194.40,(+4.74%),16.245B,25.878M
SHIB-USD,0.000025,+0.000000,(+1.55%),14.843B,1.045B
XLM-USD,0.476585,-0.012886,(-2.63%),14.331B,2.675B
WBTC-USD,"95,357.42","+2,099.28",(+2.25%),13.403B,446.504M
DOT-USD,8.1644,-0.1428,(-1.72%),12.437B,702.621M
WETH-USD,"3,622.15",+159.27,(+4.60%),12.226B,1.639B
LINK-USD,17.93,-0.03,(-0.16%),11.24B,818.873M
SUI20947-USD,3.5288,+0.1713,(+5.10%),10.042B,1.512B
BCH-USD,507.17,-7.56,(-1.47%),10.039B,918.308M
PEPE24478-USD,0.000020,+0.000001,(+7.92%),8.217B,3.096B
NEAR-USD,6.6124,-0.0821,(-1.23%),8.053B,630.739M
